ID,Content,WeiboID,DateID,DateID-Day,NickName,UserID
1,贝克汉姆也来到斯台普斯中心观战湖人的比赛啦！[心]#贝克汉姆观战湖人##NBA吐槽大会# ​,4432322742842957	,2019-10-28-10,2019-10-28,湖人资讯,6006501632	
2,"#雷霆大胜勇士#

库里独木难支，雷霆对阵勇士，轻松取胜。
赛后，保罗和库里不知道在交流什么，俩人很开心……

#NBA吐槽大会# ​",4432322730226045	,2019-10-28-10,2019-10-28,Focus篮球,5339738302	
3,"安东尼·戴维斯（Anthony Davis），1993年3月11日出生于美国伊利诺伊州芝加哥（Chicago, Illinois），美国职业篮球运动员，司职大前锋/中锋，效力于NBA洛杉矶湖人队。
2012年NBA选秀，安东尼·戴维斯以选秀状元身份被新奥尔良黄蜂队（现新奥尔良鹈鹕队）选中，从而进入NBA，新秀赛季入选最佳新秀第一阵容 ​",4432322662770915	,2019-10-28-10,2019-10-28,单车观世界,1827129675	
4,"UED体育： 
. 
. 
. 
. 
. 
. 
http://t.cn/AiYVKGE6的http://t.cn/Ai164NrS 
时光。”叶落在说这段话的时候，五大联赛 还重要。”“比姐妹还重要，那就买球[晕]app[左哼哼][委屈][干杯] 
西甲 德甲 意甲 法甲 皇马 梅西 篮球比赛 足球比赛 篮球竞技 足球竞技 #利物浦 巴萨 曼城 曼联 尤文图斯# ​",4432322591734406	,2019-10-28-10,2019-10-28,肩膀扛生活,5390024319	
5,"在今天结束的一场常规赛中，篮网客场加时憾负灰熊。赛后，欧文接受了采访。

谈及球队防守端的困境，欧文表示：“就是沟通，但更重要的是身体对抗。面对对手，你要去战斗。有时他们打得真的非常舒服，就像我说的那样，通常无法完成进攻的家伙，现在他们完成了进攻。”

转自直播吧
#nba吐槽大会# ​",4432322537334463	,2019-10-28-10,2019-10-28,篮网动态,6583241347	
6,"半场结束 湖人63：62 领先黄蜂一分
#黄蜂vs湖人##nba吐槽大会# ​",4432322516319608	,2019-10-28-10,2019-10-28,开黑模仿帝,5333153318	
7,"http://t.cn/Ai1hcHQx的http://t.cn/Ai167CeH 
落说道：“就是分手之后，女孩子五大联赛不愧是老前辈，经验太丰富了！毕买球[爱你]app[男孩儿][泪][来] ​",4432322092532617	,2019-10-28-10,2019-10-28,既然对我无心我又何必执着,2389062457	
8,著名球星大卫-贝克汉姆也来到湖人主场看球，虽然小贝已变“老贝”，但魅力依然不减啊！[心][心][心]#图说NBA# ​,4432322063819713	,2019-10-28-10,2019-10-28,新浪NBA,1736329970	
9,"#nba# #热议nba# #nba零距离# #nba比赛日# 

半场结束

湖人63-62暂时领先 ​",4432322042086493	,2019-10-28-10,2019-10-28,刘Aboo,6462212313	
10,"http://t.cn/Ai1tDQ63的http://t.cn/Ai16AsXt 
舒服的听歌环境。叶落第一遍监听五大联赛的办法，是截掉一部分。但叶落觉买球[拜拜]app[haha][蛋糕][礼物] ​",4432322021522018	,2019-10-28-10,2019-10-28,百里如丹,5974319760	
11,"#雷霆大胜勇士# 
NBA常规赛G2
勇士92-120雷霆
遭遇二连败

格林10分6篮板2助攻
克里斯10分4篮板3助攻
格伦-罗宾逊3分6篮板
库里23分8篮板5助攻
拉塞尔6分2助攻1驱逐http://t.cn/Ai1ohLEE ​",4432321698564003	,2019-10-28-10,2019-10-28,北国网,1752883611	
12,湖人半场63-62领先黄蜂，戴维斯砍下25分6个篮板，詹姆斯4分4篮板8助攻，丹尼-格林手感冰凉7投0中。值得一提的是，前两场比赛一场0分，一场1分被网友诟病的波普目前已经拿到了7分1篮板2助攻，投篮5投3中！谁能拿下最后的胜利呢？#NBA比赛日##湖人# ​,4432321421575201	,2019-10-28-10,2019-10-28,虎扑篮球,1642292081	
13,今天我在现场看球#NBA# ​,4432321291485479	,2019-10-28-10,2019-10-28,洛杉矶帝国,5750456233	
14,"#黄蜂vs湖人##nba吐槽大会# 
半场结束  浓眉已经得到25分6篮板2盖帽🔥 
今天肯定会创造一个湖人生涯新高[加油] ​",4432321266526703	,2019-10-28-10,2019-10-28,安东尼戴维斯中文网DAVIS,6373929920	
15,#NBA# 【库班不满录像挑战： 裁判应解释为什么撤销判罚】今日开拓者121-119险胜独行侠。独行侠老板库班表达了对裁判今天的一次判罚。“我是教练挑战规则的支持者，但是如果一次判罚被撤销了，而裁判们没有把录像回放播放出来并给出一个解释，那么就会成为一个问题。我们从球馆里的各个角度看，那次切球 ​,4432321208277034	,2019-10-28-10,2019-10-28,灌篮杂志,1719824734	
16,#动漫##NBA##灌篮高手# 樱木腰背受重伤，赌上职业生涯，拼死出战山王，这场比赛的最后几分钟，就是樱木最光荣的时刻。 http://t.cn/Ai1Kq2kl ​,4432321170262501	,2019-10-28-10,2019-10-28,rey手艺立体画,3282711065	
17,"#NBA##热议nba# #nba比赛日# #nba新赛季2019# 

打碎枸杞杯

我要拿高分

维金斯25+6帮助森林狼116-109力克热火取得三连胜 ​",4432321161656302	,2019-10-28-10,2019-10-28,刘Aboo,6462212313	
18,"http://t.cn/Ai1hcHQx的http://t.cn/Ai16AuOC 
红霞，微微一挣，脱离了叶落的怀五大联赛不过歌曲的版权，还在我手里，没买球[ok]app[生病][微风][吃惊] ​",4432321010532392	,2019-10-28-10,2019-10-28,佳洁在这里,5344326931	
19,"http://t.cn/Ai3udxnx的http://t.cn/Ai16LQ0O 
的瑰宝，我倒希望他能慢下来，别五大联赛不到就能全部翻完。这不，叶落把买球[酷]app[威武][话筒][钱] ​",4432321010532350	,2019-10-28-10,2019-10-28,北京188体育,2627793675	
20,"#这里有英语翻译手帐# 
[微风]好久不见的#经济学人[超话]#泛读笔记来啦[羞嗒嗒]
这篇选自1012期的雪人，这期有关于世界经济的特别报道，有兴趣可以看看哈
🎤今天这篇是前一段的热议NBA#莫雷# 事件

💓老规矩卷评👍得PDF版本哈[带着微博去旅行]一起打卡吧 ​",4432320839232566	,2019-10-28-10,2019-10-28,这里有英语翻译手帐,5945955418	
