ID,Content,WeiboID,DateID,DateID-Day,NickName,UserID
1,"英格拉姆谈四连败：
在这样的失败后，我们都是从长远来看，我们知道我们可以继续变得更好。我们知道我们有队友不能打。但你看看更衣室的这些人，我们有很多的天赋球员。#NBA吐槽大会##nba新赛季2019# ​",4432700402091425	,2019-10-29-11,2019-10-29,英格拉姆那些事儿,5880933875	
2,"九州体育： 
. 
. 
. 
. 
. 
. 
http://t.cn/AiROWFK7的http://t.cn/Ai16yg6W 
依依说道，“指导老师你发现没有五大联赛实在是太赞了，这让叶落心情很不买球[可怜]app[害羞][哆啦A梦花心][草泥马] ​",4432700352142139	,2019-10-29-11,2019-10-29,小蒙蒙LJ,2661935231	
3,"#勇士赛季首胜#赢球后的库里蹦蹦跳跳地就回更衣室了！
小学生的快乐就这么简单！#nba吐槽大会#  via@库里吧微博 http://t.cn/Ai1WapN0 ​​​",4432700309724992	,2019-10-29-11,2019-10-29,CURRY库里图汇,6805356962	
4,发布了头条文章：《周最佳球员公布，两人当选未来可期，心疼欧文成周空砍第一人》 #NBA# #篮球# #体育# #NBA吐槽大会# #nba周最佳#  http://t.cn/Ai1lvM9d ​,4432700276431555	,2019-10-29-11,2019-10-29,篮球神经线,3498536875	
5,"屁股没捂热乎呢？就一天时间，西部榜首被马刺夺去了[允悲][允悲]
#nba新赛季2019# ​",4432700154375818	,2019-10-29-11,2019-10-29,头号糖黑,6006579048	
6,洛杉矶大火导致NBA球星勒布朗和家人都被列入必须撤离的名单中#洛杉矶大火# ​,4432700083548342	,2019-10-29-11,2019-10-29,上工的视角,5887918107	
7,短短幾個月勇士的首發我都不認識了，什麼叫物是人非啊。。。#NBA# ​,4432700083452014	,2019-10-29-11,2019-10-29,不會游泳不改網名,5349897829	
8,#火箭VS雷霆##休斯顿火箭##OneMission##NBA# 保罗赛后谈威少：“我经常和威少进行交谈，告诉他拥有一支非常优秀的团队，威少会给他们带来了优势，我仍然每天和塔克以及克拉克交谈，我希望我不会让他们遇到麻烦。” ​​​,4432700008125900	,2019-10-29-11,2019-10-29,HoustonRockets中文网,6229521600	
9,#新浪看点# NBA开拓者队121-119绝杀小牛队http://t.cn/Ai1WsgKt ​,4432699995511214	,2019-10-29-11,2019-10-29,痞子厂长斯诺克,3217697213	
10,#NBA零距离# 【乌布雷飞扣戈贝尔】乌布雷借贝恩斯掩护寻找战机，看准时机加速冲进内线，在戈贝尔头上完成劲爆扣篮！#爵士vs太阳#  http://t.cn/Ai1WsRNw ​,4432699894666202	,2019-10-29-11,2019-10-29,NBA,1883881851	
11,#nba吐槽大会#汤神对比巅峰的雷阿伦谁更强？球迷评论竟一边倒 http://t.cn/Ai1WsCI6 ​,4432699764508740	,2019-10-29-11,2019-10-29,小嘴说体坛,6179910516	
